,No.,Rank,Judul,Score
1,1,Fullmetal Alchemist: Brotherhood,9,1
2,2,Bleach: Sennen Kessen-hen,9,07
3,3,Steins:Gate,9,07
4,4,Shingeki no Kyojin Season 3 Part 2,9,06
5,5,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9,06
6,6,Gintama°,9,06
7,7,Kaguya-sama wa Kokurasetai: Ultra Romantic,9,05
8,8,Gintama',9,04
9,9,Gintama: The Final,9,03
10,10,Hunter x Hunter (2011),9,02
11,11,Gintama': Enchousen,9,01
12,12,Ginga Eiyuu Densetsu,9
13,13,"Oshi no Ko",8,99
14,14,Fruits Basket: The Final,8,98
15,15,Gintama.,8,97
16,16,Gintama ,8,96
17,17,Koe no Katachi,8,95
18,18,3-gatsu no Lion 2nd Season,8,94
19,19,Clannad: After Story	8,93
20,20,Code Geass: Hangyaku no Lelouch R2,8,92
21,21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8,91
22,22,Violet Evergarden Movie,8,9
23,23,Owarimonogatari 2nd Season,8,89
24,24,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8,88
25,25,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8,87
26,26,Monster,8,86
27,27,Bocchi the Rock!,8,85
28,28,Kimi no Na wa.,8,84
29,29,Kingdom 3rd Season,8,83
30,30,Gintama.: Shirogane no Tamashii-hen,8,82
31,31,Kimetsu no Yaiba: Yuukaku-hen,8,81
32,32,Mob Psycho 100 II,8,8
33,33,Shingeki no Kyojin: The Final Season,8,79
34,34,Kizumonogatari III: Reiketsu-hen,8,78
35,35,Sen to Chihiro no Kamikakushi,8,77
36,36,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8,76
37,37,Monogatari Series: Second Season,8,75
38,38,Shingeki no Kyojin: The Final Season Part 2,8,74
39,39,Hajime no Ippo,8,73
40,40,Cowboy Bebop,8,72
41,41,Kingdom 4th Season,8,71
42,42,Vinland Saga,8,7
43,43,Mushishi Zoku Shou 2nd Season,8,69
44,44,Shiguang Dailiren	8,68
45,45,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8,67
46,46,Mob Psycho 100 III ,8,66
47,47,Vinland Saga Season 2,8,65
48,48,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8,64
49,49,86 Part 2,8,63
50,50,Ashita no Joe 2,8,62
